k, x_0, y_0, size
288, 233, 777, 1134
289, 232, 776, 1136
290, 223, 800, 1156
291, 222, 800, 1159
292, 221, 802, 1164
293, 221, 801, 1166
294, 219, 804, 1172
295, 218, 804, 1175
296, 218, 803, 1178
297, 218, 802, 1180
298, 215, 808, 1188
299, 214, 808, 1191
300, 213, 810, 1196
301, 213, 809, 1198
302, 214, 807, 1202
303, 213, 807, 1204
304, 213, 805, 1206
305, 212, 804, 1208
306, 222, 799, 1218
307, 221, 799, 1220
308, 218, 799, 1222
309, 218, 798, 1224
310, 214, 799, 1226
311, 213, 799, 1228
312, 213, 797, 1230
313, 212, 796, 1232
314, 215, 791, 1234
315, 214, 790, 1236
316, 213, 789, 1238
317, 212, 788, 1240
318, 211, 787, 1242
319, 210, 786, 1244
320, 209, 785, 1246
321, 208, 784, 1248
322, 191, 832, 1284
323, 190, 832, 1287
324, 189, 834, 1292
325, 189, 833, 1294
326, 187, 836, 1300
327, 186, 836, 1303
328, 186, 835, 1306
329, 186, 834, 1308
330, 183, 840, 1316
331, 182, 840, 1319
332, 181, 842, 1324
333, 181, 841, 1326
334, 182, 839, 1330
335, 181, 839, 1332
336, 181, 837, 1334
337, 180, 836, 1336
338, 175, 848, 1348
339, 174, 848, 1351
340, 173, 850, 1356
341, 173, 849, 1358
342, 171, 852, 1364
343, 170, 852, 1367
344, 170, 851, 1370
345, 170, 850, 1372
346, 174, 847, 1378
347, 173, 847, 1380
348, 170, 847, 1382
349, 170, 846, 1384
350, 171, 843, 1386
351, 170, 842, 1388
352, 169, 841, 1390
353, 168, 840, 1392
354, 190, 831, 1410
355, 189, 831, 1412
356, 186, 831, 1414
357, 186, 830, 1416
358, 182, 831, 1418
359, 181, 831, 1420
360, 181, 829, 1422
361, 180, 828, 1424
362, 174, 831, 1426
363, 173, 831, 1428
364, 170, 831, 1430
365, 170, 830, 1432
366, 171, 827, 1434
367, 170, 826, 1436
368, 169, 825, 1438
369, 168, 824, 1440
370, 175, 815, 1442
371, 174, 814, 1444
372, 173, 813, 1446
373, 172, 812, 1448
374, 171, 811, 1450
375, 170, 810, 1452
376, 169, 809, 1454
377, 168, 808, 1456
378, 167, 807, 1458
379, 166, 806, 1460
380, 165, 805, 1462
381, 164, 804, 1464
382, 163, 803, 1466
383, 162, 802, 1468
384, 161, 801, 1470
385, 160, 800, 1472
386, 254, 767, 1538
